"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-18","0.12","0.0","94","71"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-19","0.00","0.0","90","70"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-20","0.00","0.0","86","66"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-21","0.00","0.0","90","63"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-22","0.00","0.0","94","69"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-23","0.08","0.0","98","73"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-24","0.00","0.0","94","70"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-25","0.00","0.0","100","76"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-26","0.00","0.0","96","73"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-27","0.00","0.0","95","78"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-28","0.65","0.0","95","74"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-29","0.41","0.0","92","72"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-30","1.80","0.0","88","71"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-07-31","0.01","0.0","91","72"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-01","0.06","0.0","89","71"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-02","0.00","0.0","87","73"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-03","0.00","0.0","82","69"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-04","0.00","0.0","83","64"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-05","0.00","0.0","83","67"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-06","0.00","0.0","90","73"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-07","0.00","0.0","89","67"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-08","0.00","0.0","89","65"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-09","0.00","0.0","81","62"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-10","0.00","0.0","93","75"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-11","0.00","0.0","96","77"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-12","0.32","0.0","96","79"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-13","0.00","0.0","98","77"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-08-14","0.20","0.0","98","73"
